order,SpecimenID,Site,X,Y,Spit,Raw.material,Key
4033,17856,BCJ area F7,12.05,13.4,6,quartz,NA
4034,17857,BCJ area F7,12.6,13.8,6,silcrete,NA
4035,17858,BCJ area F7,12.9,13.15,6,quartz,NA
4036,17859,BCJ area F7,12.6,13.35,6,quartz,NA
4037,17860,BCJ area F7,12.25,13.05,6,quartz,NA
4038,17861,BCJ area F7,12.25,14,6,quartz,NA
4039,17862,BCJ area F7,12.85,13.55,8,quartz,NA
4040,17863,BCJ area F7,12.7,13.2,8,quartz,NA
4041,17864,BCJ area F7,13,13.45,8,quartz,NA
4042,17865,BCJ area F7,12.45,13.95,8,quartz,NA
4043,17866,BCJ area F7,12.25,13.8,8,silcrete,NA
4044,17867,BCJ area F7,12.5,13.6,8,silcrete,NA
4045,17868,BCJ area F7,12.85,13.95,10,quartz,NA
4046,17869,BCJ area F7,13,13.8,10,quartz,NA
4047,17870,BCJ area F7,12,13.75,10,quartz,NA
4048,17871,BCJ area F7,12.65,13.6,10,silcrete,NA
4049,17872,BCJ area F7,15,15,2,silcrete,NA
4050,17873,BCJ area F7,15.5,15.5,2,silcrete,NA
4051,17874,BCJ area F7,15.8,15.7,2,quartz,NA
4052,17875,BCJ area F7,15.3,15.65,4,quartz,NA
4053,17876,BCJ area F7,15.9,15.35,6,silcrete,NA
4054,17877,BCJ area F7,15.35,15.2,6,silcrete,NA
4055,17878,BCJ area F7,15.95,15.095,6,silcrete,NA
4056,17879,BCJ area F7,15.1,15.85,6,silcrete,NA
4057,17880,BCJ area F7,15.7,15.05,6,quartz,NA
4058,17881,BCJ area F7,15.05,15.4,6,quartz,NA
4059,17882,BCJ area F7,15.6,15.8,8,quartz,NA
4060,17883,BCJ area F7,16,15.15,8,quartz,NA
4061,17884,BCJ area F7,15.6,15.35,8,quartz,NA
4062,17885,BCJ area F7,15.25,15.05,8,quartz,NA
4063,17886,BCJ area F7,15.25,16,8,quartz,NA
4064,17887,BCJ area F7,15.85,15.55,10,quartz,NA
4065,17888,BCJ area F7,15.7,15.2,10,quartz,NA
4066,17889,BCJ area F7,16,15.45,10,quartz,NA
4067,17890,BCJ area F7,13,13,2,quartz,NA
4068,17891,BCJ area F7,13.5,13.5,2,quartz,NA
4069,17892,BCJ area F7,13.8,13.7,2,quartz,NA
4070,17893,BCJ area F7,13.3,13.65,2,quartz,NA
4071,17894,BCJ area F7,13.9,13.35,2,quartz,NA
4072,17895,BCJ area F7,13.35,13.2,2,quartz,NA
4073,17896,BCJ area F7,13.95,13.095,2,quartz,NA
4074,17897,BCJ area F7,13.1,13.85,2,quartz,NA
4075,17898,BCJ area F7,13.7,13.05,4,quartz,NA
4076,17899,BCJ area F7,13.05,13.4,4,quartz,NA
4077,17900,BCJ area F7,13.6,13.8,4,quartz,NA
4078,17901,BCJ area F7,13.95,13.15,4,silcrete,NA
4079,17902,BCJ area F7,13.6,13.35,4,silcrete,NA
4080,17903,BCJ area F7,13.25,13.05,4,silcrete,NA
4081,17904,BCJ area F7,13.25,14,6,quartz,NA
4082,17905,BCJ area F7,13.85,13.55,8,silcrete,NA
4083,17906,BCJ area F7,13.7,13.2,8,silcrete,NA
4084,17907,BCJ area F7,13.95,13.45,8,quartz,NA
4085,17908,BCJ area F7,13.45,13.95,8,quartz,NA
4086,17909,BCJ area F7,13.25,13.8,8,quartz,NA
4087,17910,BCJ area F7,13.5,13.6,10,quartz,NA
4088,17911,BCJ area F7,15,10,2,quartz,NA
4089,17912,BCJ area F7,15.5,10.5,2,quartz,NA
4090,17913,BCJ area F7,15.8,10.7,2,quartz,NA
4091,17914,BCJ area F7,15.3,10.65,4,quartz,NA
4092,17915,BCJ area F7,15.9,10.35,4,quartz,NA
4093,17916,BCJ area F7,15.35,10.2,4,quartz,NA
4094,17917,BCJ area F7,15.95,10.095,4,silcrete,NA
4095,17918,BCJ area F7,15.1,10.85,4,silcrete,NA
4096,17919,BCJ area F7,15.7,10.05,4,silcrete,NA
4097,17920,BCJ area F7,15.05,10.4,6,quartz,NA
4098,17921,BCJ area F7,15.6,10.8,6,quartz,NA
4099,17922,BCJ area F7,16,10.15,8,quartz,NA
4100,17923,BCJ area F7,15.6,10.35,8,quartz,NA
4101,17924,BCJ area F7,15.25,10.05,8,quartz,NA
