order,SpecimenID,Image.J.ID,Site,X,Y,Spit,Raw.material,Key,activity_area
1,935,,BCJ area G,17.14,20.47,6,silcrete,Flake local G4,Area 1
1,936,,BCJ area G,17.04,20.1,6,silcrete,Flake local G4,Area 1
1,937,,BCJ area G,17.29,20.35,6,silcrete,Flake local G4,Area 1
1,938,,BCJ area G,17.47,20.51,6,silcrete,Flake local G4,Area 1
1,939,,BCJ area G,17.72,20.76,6,silcrete,Flake local G4,Area 1
1,942,,BCJ area G,17.15,20.61,8,silcrete,Flake local G4,Area 1
1,943,,BCJ area G,17.4,20.86,8,silcrete,Flake local G4,Area 1
1,944,,BCJ area G,17.16,20.05,8,silcrete,Flake local G4,Area 1
1,945,,BCJ area G,17.4,20.26,8,silcrete,Flake local G4,Area 1
1,946,,BCJ area G,17.22,20.1,8,silcrete,Flake local G4,Area 1
1,950,,BCJ area G,17.23,20.47,10,silcrete,Flake local G4,Area 1
1,951,,BCJ area G,17.96,20.2,10,silcrete,Flake local G4,Area 1
1,952,,BCJ area G,17.36,20.57,10,silcrete,Flake local G4,Area 1
1,956,,BCJ area G,17.94,20.86,12,silcrete,Flake local G4,Area 1
1,959,,BCJ area G,17.24,21.21,2,silcrete,Flake local G4,Area 1
1,960,,BCJ area G,17.42,21.37,2,silcrete,Flake local G4,Area 1
1,961,,BCJ area G,17.67,21.62,2,silcrete,Flake local G4,Area 1
1,963,,BCJ area G,17.74,21.1,4,silcrete,Flake local G4,Area 1
1,964,,BCJ area G,17.14,21.47,4,silcrete,Flake local G4,Area 1
1,965,,BCJ area G,17.04,21.1,4,silcrete,Flake local G4,Area 1
1,966,,BCJ area G,17.29,21.35,4,silcrete,Flake local G4,Area 1
1,968,,BCJ area G,17.72,21.76,6,silcrete,Flake local G4,Area 1
1,969,,BCJ area G,17.05,21.51,6,silcrete,Flake local G4,Area 1
1,970,,BCJ area G,17.75,21.2,6,silcrete,Flake local G4,Area 1
1,971,,BCJ area G,17.15,21.61,6,silcrete,Flake local G4,Area 1
1,973,,BCJ area G,17.16,21.05,6,silcrete,Flake local G4,Area 1
1,974,,BCJ area G,17.4,21.26,6,silcrete,Flake local G4,Area 1
1,989,,BCJ area G,17.69,21.67,8,silcrete,Flake local G4,Area 1
1,996,,BCJ area G,17.44,21.81,10,silcrete,Flake local G4,Area 1
1,1009,,BCJ area G,15.74,18.01,4,silcrete,Flake local G4,Area 1
1,1010,,BCJ area G,15.14,18.47,4,silcrete,Flake local G4,Area 1
