order,SpecimenID,Image.J.ID,Site,Pit,X,Y,Spit,TP.spit,Category,Raw.material,artefact,Key,activity_area,Nodule,Retouch,Use wear,CONJOIN SET,Breakage
1,540,,BCJ area G,G9D,18.7,18.65,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,541,,BCJ area G,G9D,18.03,18.81,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4X,3
1,542,,BCJ area G,G9D,18.68,18.5,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4X,3
1,543,,BCJ area G,G9D,18.08,18.91,10,5 (40-50cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
1,547,,BCJ area G,G9D,18.33,18.93,12,6 (50-60cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4A,1
1,549,,BCJ area G,G9E,18.39,18.38,2,1 (0-10cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4AJ,3
1,550,,BCJ area G,G9E,17,16,2,1 (0-10cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,553,,BCJ area G,G9E,17.24,16.21,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,572,,BCJ area G,G9E,17.01,16.37,6,3 (20-30cm),Flake,chert,Imported preform - unmodified,Flake local G4,Area 1,ISOCHERT,no,Possible,NA,2
1,573,,BCJ area G,G9E,17.26,16.2,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4F,1
1,574,,BCJ area G,G9E,17.51,16.45,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,575,,BCJ area G,G9E,17.69,16.11,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4A,3
1,576,,BCJ area G,G9E,17.94,16.16,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4K,3
1,577,,BCJ area G,G9E,17.27,16.61,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4MIS,no,No,NA,1
1,602,,BCJ area G,G9E,17.04,16.5,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,603,,BCJ area G,G9E,17.29,16.75,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,604,,BCJ area G,G9E,17.47,16.91,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,605,,BCJ area G,G9E,17.22,16.66,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4R,,,NA,
1,606,,BCJ area G,G9E,17.05,16.91,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,608,,BCJ area G,G9E,17.3,16.34,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,3
1,609,,BCJ area G,G9E,17.48,16.5,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,610,,BCJ area G,G9E,17.53,16.25,8,4 (30-40cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,627,,BCJ area G,G9F,17,15.5,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,628,,BCJ area G,G9F,17.24,15.81,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,2
1,629,,BCJ area G,G9F,17.42,15.77,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4A,3
1,630,,BCJ area G,G9F,17.67,15.62,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,657,,BCJ area G,G9F,17.27,15.93,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,G4M,3
1,658,,BCJ area G,G9F,17.51,15.51,6,3 (20-30cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,1
1,714,,BCJ area G,G9H,19,18,4,2 (10-20cm),Flake,silcrete,,Flake local G4,Area 1,G4,no,No,NA,6
