order,Image.J.ID,SpecimenID,Site,notX,notY,X,Y,Spit,Raw.material,Key
4235,1,18056,BCJ area F7,17,13,17,13,2,quartz,Flake local quartz
4236,2,18057,BCJ area F7,NA,NA,17.5,13.5,2,quartz,Flake local quartz
4237,3,18058,BCJ area F7,NA,NA,17.8,13.7,4,quartz,NA
4238,4,18059,BCJ area F7,NA,NA,17.3,13.65,4,quartz,Flake local quartz
4239,5,18060,BCJ area F7,NA,NA,17.9,13.35,4,quartz,NA
4240,6,18061,BCJ area F7,NA,NA,17.35,13.2,4,quartz,NA
4241,7,18062,BCJ area F7,NA,NA,17.95,13.095,4,quartz,NA
4242,8,18063,BCJ area F7,NA,NA,17.1,13.85,4,quartz,Flake local quartz
4243,9,18064,BCJ area F7,NA,NA,17.7,13.05,4,silcrete,NA
4244,10,18065,BCJ area F7,NA,NA,17.05,13.4,4,silcrete,NA
4245,11,18066,BCJ area F7,NA,NA,17.6,13.8,4,NA,NA
4246,12,18067,BCJ area F7,NA,NA,18,13.15,4,silcrete,NA
4247,13,18068,BCJ area F7,NA,NA,17.6,13.35,4,silcrete,NA
4248,14,18069,BCJ area F7,NA,NA,17.25,13.05,4,silcrete,NA
4249,15,18070,BCJ area F7,NA,NA,17.25,14,4,silcrete,NA
4250,16,18071,BCJ area F7,NA,NA,17.85,13.55,4,silcrete,NA
4251,17,18072,BCJ area F7,NA,NA,17.7,13.2,4,silcrete,NA
4252,18,18073,BCJ area F7,NA,NA,18,13.45,4,silcrete,NA
4253,19,18074,BCJ area F7,NA,NA,17.45,13.95,4,NA,NA
4254,20,18075,BCJ area F7,NA,NA,17.25,13.8,4,silcrete,NA
4255,21,18076,BCJ area F7,NA,NA,17.5,13.6,4,silcrete,NA
4256,22,18077,BCJ area F7,NA,NA,17.85,13.95,6,quartz,NA
4257,23,18078,BCJ area F7,NA,NA,18,13.8,6,quartz,Flake local quartz
4258,24,18079,BCJ area F7,NA,NA,17,13.75,6,quartz,Core local quartz
4259,25,18080,BCJ area F7,NA,NA,17.65,13.6,6,quartz,NA
4260,26,18081,BCJ area F7,NA,NA,17.55,13.1,6,quartz,Flake local quartz
4261,27,18082,BCJ area F7,NA,NA,17.3,13.3,6,quartz,Flake local quartz
4262,28,18083,BCJ area F7,NA,NA,17.45,13.75,6,quartz,Flake local quartz
4263,29,18084,BCJ area F7,NA,NA,17.1,13.05,6,quartz,Flake local quartz
4264,30,18085,BCJ area F7,NA,NA,17.95,13.05,6,quartz,Flake local quartz
4265,31,18086,BCJ area F7,NA,NA,17.8,13.45,6,quartz,Flake local quartz
4266,32,18087,BCJ area F7,NA,NA,17.1,13.1,6,silcrete,NA
4267,33,18088,BCJ area F7,NA,NA,17.6,13.6,6,silcrete,NA
4268,34,18089,BCJ area F7,NA,NA,17.9,13.8,6,silcrete,NA
4269,35,18090,BCJ area F7,NA,NA,17.4,13.75,6,silcrete,NA
4270,36,18091,BCJ area F7,NA,NA,18,13.45,6,silcrete,NA
4271,37,18092,BCJ area F7,NA,NA,17.45,13.3,6,silcrete,NA
4272,38,18093,BCJ area F7,NA,NA,18,13.195,6,silcrete,NA
4273,39,18094,BCJ area F7,NA,NA,17.2,13.95,6,silcrete,NA
4274,40,18095,BCJ area F7,NA,NA,17.8,13.15,6,silcrete,NA
4275,41,18096,BCJ area F7,NA,NA,17.15,13.5,6,silcrete,NA
4276,42,18097,BCJ area F7,NA,NA,17.7,13.9,6,silcrete,NA
4277,43,18098,BCJ area F7,NA,NA,17.15,13.25,6,silcrete,NA
4278,44,18099,BCJ area F7,NA,NA,17.7,13.45,6,silcrete,NA
4279,45,18100,BCJ area F7,NA,NA,17.35,13.15,8,quartz,Flake local quartz
4280,46,18101,BCJ area F7,NA,NA,17.35,13.18,8,quartz,Flake local quartz
4281,47,18102,BCJ area F7,NA,NA,17.95,13.65,8,quartz,Flake local quartz
4282,48,18103,BCJ area F7,NA,NA,17.8,13.3,8,silcrete,NA
4283,49,18104,BCJ area F7,NA,NA,17.1,13.55,10,quartz,Flake local quartz
4284,1,18105,BCJ area F7,16,11,16,11,2,quartz,NA
4285,2,18106,BCJ area F7,NA,NA,16.5,11.5,2,quartz,NA
4286,3,18107,BCJ area F7,NA,NA,16.8,11.7,2,quartz,NA
4287,4,18108,BCJ area F7,NA,NA,16.3,11.65,4,silcrete,NA
4288,5,18109,BCJ area F7,NA,NA,16.9,11.35,4,quartz,NA
4289,6,18110,BCJ area F7,NA,NA,16.35,11.2,4,quartz,Flake local quartz
4290,7,18111,BCJ area F7,NA,NA,16.95,11.095,4,quartz,NA
4291,8,18112,BCJ area F7,NA,NA,16.1,11.85,6,silcrete,NA
4292,9,18113,BCJ area F7,NA,NA,16.7,11.05,6,silcrete,NA
4293,10,18114,BCJ area F7,NA,NA,16.05,11.4,6,quartz,NA
4294,11,18115,BCJ area F7,NA,NA,16.6,11.8,6,quartz,NA
4295,12,18116,BCJ area F7,NA,NA,17,11.15,6,quartz,NA
4296,13,18117,BCJ area F7,NA,NA,16.6,11.35,6,quartz,NA
4297,14,18118,BCJ area F7,NA,NA,16.25,11.05,6,quartz,NA
4298,15,18119,BCJ area F7,NA,NA,16.25,12,6,quartz,NA
4299,16,18120,BCJ area F7,NA,NA,16.85,11.55,8,quartz,NA
4300,17,18121,BCJ area F7,NA,NA,16.7,11.2,8,quartz,NA
4301,18,18122,BCJ area F7,NA,NA,17,11.45,10,quartz,NA
4302,19,18123,BCJ area F7,NA,NA,16.65,11.95,10,quartz,Flake local quartz
4303,20,18124,BCJ area F7,NA,NA,16.85,11.8,10,quartz,Flake local quartz
4304,21,18125,BCJ area F7,NA,NA,16.5,11.6,10,quartz,NA
4305,22,18126,BCJ area F7,NA,NA,16.85,11.95,10,quartz,NA
4306,23,18127,BCJ area F7,NA,NA,17,11.8,10,quartz,NA
4307,1,18128,BCJ area F7,17,12,17,12,2,silcrete,NA
4308,2,18129,BCJ area F7,NA,NA,17.5,12.5,2,silcrete,NA
4309,3,18130,BCJ area F7,NA,NA,17.8,12.7,2,quartz,Flake local quartz
4310,4,18131,BCJ area F7,NA,NA,17.3,12.65,4,silcrete,NA
